,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi
Hesburger Tallinn Rocca Al Mare,151046.17,151404.92,150713.89,153262.34,152227.8,150230.08,151229.05,209043.7,185804.58,122030.12,113909.91,114573.02,112314.09,112108.48,165808.06,77886.45,81454.34,73926.38,16797.54,10971.37,6378.89,4478.01,17584.04,7712.02,3485.23,9163.86,2687.39,7697.58,3467.33,1591.7,2597.5,4781.57,1378.64,0.0,5451.08,4008.24,2728.52,2859.27,6079.71,660.25,4112.76,910.55,10639.12,64043.4,84186.53,85146.35,132667.09,135701.34,137246.64,175624.84,176384.45,7472.53
Hesburger Tallinn Sikupilli,145640.17,145998.92,145307.89,147856.34,146821.8,144824.08,145823.05,203637.7,185530.09,121755.63,113635.42,114298.53,112039.6,111833.99,170111.5,82189.91,76048.34,68456.45,21100.99,9645.74,8878.96,3225.87,12916.5,2336.13,3837.5,3869.92,2768.11,2426.05,4863.85,3935.14,5196.18,1670.01,6342.16,5451.08,0.0,1631.45,3736.13,4149.1,682.52,6022.96,1638.8,6208.66,5345.18,58637.4,78780.53,79740.35,127261.1,130295.34,131840.64,170218.84,170978.45,10177.14
Hesburger Tallinn Solaris Keskus,147212.83,147571.58,146880.55,149428.98,148394.45,146396.73,147395.7,205210.36,185174.92,121400.46,113280.25,113943.36,111684.43,111478.82,169735.08,81813.48,77620.99,70034.02,20724.56,9591.61,8502.53,2875.45,13711.32,3913.69,2344.23,5223.34,1416.3,3757.07,3914.51,2459.36,3960.34,940.76,4946.24,4008.24,1631.45,0.0,2105.54,2903.54,2260.08,4581.45,324.51,4812.73,6698.6,60210.05,80353.19,81313.01,128833.75,131867.98,133413.3,171791.48,172551.11,9696.54
Hesburger Tallinn Sõle,149301.69,149660.45,148969.41,151517.86,150483.33,148485.59,149484.56,207299.23,185757.94,121983.47,113863.26,114526.37,112267.44,112061.83,168449.11,80527.5,79709.87,73129.63,19438.59,10174.62,7984.74,3458.46,15681.34,6018.36,1403.21,7261.16,1151.82,5794.88,3435.08,1209.27,2846.1,2717.33,3685.1,2728.52,3736.13,2105.54,0.0,2460.46,4364.75,3301.73,2210.06,3551.59,8736.42,62298.92,82442.05,83401.88,130922.63,133956.86,135502.16,173880.36,174639.98,9078.38
Hesburger Tallinn Sõpruse,149744.19,150102.94,149411.91,151960.36,150925.81,148928.09,149927.06,207741.72,183515.67,119741.21,111621.0,112284.11,110025.18,109819.57,167078.41,79156.8,80152.36,71139.55,18067.89,8184.54,5924.34,1690.76,16541.75,6151.06,3691.35,7970.85,1487.23,6504.58,1099.82,2134.46,1158.49,3739.2,2531.89,2859.27,4149.1,2903.54,2460.46,0.0,4777.73,3380.57,3070.39,3019.39,9446.11,62741.41,82884.55,83844.37,131365.11,134399.36,135944.66,174322.86,175082.47,7017.98
Hesburger Tallinn T1,145178.98,145537.75,144846.72,147395.16,146360.63,144362.89,145361.86,203176.53,185950.63,122176.16,114055.95,114719.05,112460.13,112254.52,170532.03,82610.43,75587.16,68429.67,21521.51,9808.82,9299.48,3646.4,12492.06,2309.35,4466.13,3453.18,3396.74,2009.32,5284.37,4563.77,5807.31,2278.02,6970.79,6079.71,682.52,2260.08,4364.75,4777.73,0.0,6651.59,2267.43,6837.29,4928.44,58176.22,78319.35,79279.17,126799.92,129834.16,131379.45,169757.66,170517.28,10597.66
Hesburger Tallinn Unibet Arena,151618.05,151976.8,151285.77,153834.22,152799.67,150801.95,151800.92,209615.59,185434.44,121659.97,113539.76,114202.87,111943.94,111738.33,165326.5,77404.9,82026.23,73770.59,16315.99,10815.58,6008.74,4538.89,18157.25,8283.9,4058.44,9737.07,3259.27,8270.79,3223.69,2164.9,2369.93,5354.77,1146.0,660.25,6022.96,4581.45,3301.73,3380.57,6651.59,0.0,4685.97,515.24,11212.33,64615.28,84758.41,85718.23,133238.98,136273.22,137818.52,176196.72,176956.34,7102.38
Hesburger Tallinn Viru tn.,147191.27,147550.02,146858.98,149407.44,148372.89,146375.17,147374.14,205188.8,185427.53,121653.07,113532.86,114195.97,111937.04,111731.44,169945.17,82023.57,77599.44,70041.36,20934.66,9844.22,8755.14,3128.06,13532.92,3921.03,2255.49,5154.42,1583.16,3665.34,4102.72,2563.89,4064.86,717.03,5050.77,4112.76,1638.8,324.51,2210.06,3070.39,2267.43,4685.97,0.0,4917.26,6616.93,60188.49,80331.63,81291.45,128812.2,131846.42,133391.73,171769.94,172529.55,9884.75
Hesburger Tallinn Õismäe Maxima,151803.75,152162.5,151471.47,154019.91,152985.38,150987.66,151986.63,209801.28,185109.45,121334.99,113214.78,113877.88,111618.96,111413.35,165243.19,77321.58,82211.92,73328.15,16232.67,10373.15,5683.76,4088.4,18388.54,8469.59,4308.74,9968.35,3444.97,8502.08,2781.26,2408.86,1919.44,5586.06,703.57,910.55,6208.66,4812.73,3551.59,3019.39,6837.29,515.24,4917.26,0.0,11443.61,64800.97,84944.11,85903.93,133424.67,136458.91,138004.22,176382.41,177142.03,6777.4
Hesburger Tallinn Ümera,142369.69,142728.45,142037.42,144585.86,143551.33,141553.61,142552.56,200367.23,188471.34,126667.83,118760.63,119423.73,117164.8,116959.2,175236.7,87315.1,72777.87,71179.95,26226.19,14332.73,14004.16,8351.07,7876.39,6833.25,8535.83,1673.18,8047.18,3020.26,9989.05,9090.24,10493.2,6240.29,11577.12,10639.12,5345.18,6698.6,8736.42,9446.11,4928.44,11212.33,6616.93,11443.61,0.0,55366.93,75510.05,76469.88,123990.63,127024.86,128570.16,166948.36,167707.98,15302.34
Hesburger Tapa Drive-in,94335.28,94694.03,94003.0,96551.45,95516.91,93519.19,94518.16,152332.81,168268.31,100255.83,115941.7,115232.41,117640.45,117702.22,204361.64,129396.81,26800.74,43841.48,77612.32,61364.98,65453.85,61598.85,53416.04,57749.8,62374.07,56944.99,61360.43,56897.16,63236.82,62527.46,63759.77,60106.49,64934.48,64043.4,58637.4,60210.05,62298.92,62741.41,58176.22,64615.28,60188.49,64800.97,55366.93,0.0,21848.67,22808.49,70329.23,73363.48,74908.77,113286.98,114046.59,66752.03
Hesburger Rakvere Põhjakeskus,100746.16,101104.91,100413.88,102962.32,101927.78,99930.06,100929.03,158743.69,174679.19,115015.57,130701.45,129992.16,132400.2,132461.97,224504.77,149539.94,41560.49,58601.23,97755.45,81508.12,85596.98,81741.98,73559.16,77892.93,82517.21,77088.12,81503.56,77040.3,83379.96,82670.59,83902.9,80249.63,85077.62,84186.53,78780.53,80353.19,82442.05,82884.55,78319.35,84758.41,80331.63,84944.11,75510.05,21848.67,0.0,2725.5,50109.76,53143.99,54689.29,93067.49,93827.11,86895.16
Hesburger Rakvere Vaala Keskus,100157.66,100516.41,99825.38,102373.83,101339.29,99341.56,100340.53,158155.19,174090.69,115402.93,131088.8,130379.52,132787.55,132849.33,225464.59,150499.77,41947.84,58988.59,98715.27,82467.94,86556.8,82701.8,74518.98,78852.75,83477.02,78047.94,82463.38,78000.12,84339.78,83630.41,84862.72,81209.45,86037.43,85146.35,79740.35,81313.01,83401.88,83844.37,79279.17,85718.23,81291.45,85903.93,76469.88,22808.49,2725.5,0.0,47775.56,50809.8,52355.1,90733.3,91492.91,87854.98
Hesburger Kohtla-Järve Vironia Keskus,110660.13,111093.7,111483.21,114178.2,113468.16,111108.69,112469.41,163299.02,185831.11,141991.25,174888.45,174179.17,176587.2,176648.98,272985.34,198020.52,79818.47,102788.24,146236.02,129988.69,134077.55,130222.55,120148.27,126373.5,130997.77,125568.69,129984.13,125520.87,131860.53,131151.16,132383.47,128730.2,133558.19,132667.09,127261.1,128833.75,130922.63,131365.11,126799.92,133238.98,128812.2,133424.67,123990.63,70329.23,50109.76,47775.56,0.0,7372.66,9126.25,44651.15,45410.77,135375.73
Hesburger Jõhvi,113694.36,114127.94,114517.45,117212.45,116502.39,114142.92,115503.64,166333.25,188865.34,145025.48,177922.69,177213.41,179621.45,179683.22,276019.56,201054.75,82852.7,105822.48,149270.25,133022.92,137111.78,133256.78,125073.97,129407.73,134032.02,128602.92,133018.36,128555.1,134894.77,134185.39,135417.7,131764.42,136592.42,135701.34,130295.34,131867.98,133956.86,134399.36,129834.16,136273.22,131846.42,136458.91,127024.86,73363.48,53143.99,50809.8,7372.66,0.0,1870.89,40079.07,40838.69,138409.97
Hesburger Ahtme Maxima,112067.91,112501.48,112890.99,115585.99,114875.95,112516.48,113877.19,164706.8,187238.89,143399.03,177909.28,177199.98,179608.03,179669.8,277564.88,202600.05,81226.25,105809.06,150815.56,134568.22,138657.09,134802.09,126619.27,130953.04,135577.31,130148.23,134563.67,130100.4,136440.06,135730.69,136963.0,133309.73,138137.72,137246.64,131840.64,133413.3,135502.16,135944.66,131379.45,137818.52,133391.73,138004.22,128570.16,74908.77,54689.29,52355.1,9126.25,1870.89,0.0,39921.8,40681.41,139955.27
Hesburger Narva Fama Keskus,141596.72,142030.3,142419.81,145114.81,144404.77,142045.28,143406.0,194235.61,216767.7,182451.84,216962.09,216252.81,218660.84,218722.63,315943.06,240978.25,120279.07,144861.89,189193.75,172946.42,177035.28,173180.3,160353.33,169331.23,173955.52,168526.42,172941.86,168478.61,174818.27,174108.89,175341.2,171687.94,176515.92,175624.84,170218.84,171791.48,173880.36,174322.86,169757.66,176196.72,171769.94,176382.41,166948.36,113286.98,93067.49,90733.3,44651.15,40079.07,39921.8,0.0,1367.02,178333.47
Hesburger Narva Juuli,142356.34,142789.92,143179.42,145874.42,145164.38,142804.91,144165.63,194995.22,217527.33,183211.47,217721.7,217012.42,219420.47,219482.23,316702.69,241737.86,121038.69,145621.5,189953.38,173706.05,177794.91,173939.91,161112.95,170090.86,174715.13,169286.05,173701.48,169238.22,175577.88,174868.52,176100.81,172447.55,177275.53,176384.45,170978.45,172551.11,174639.98,175082.47,170517.28,176956.34,172529.55,177142.03,167707.98,114046.59,93827.11,91492.91,45410.77,40838.69,40681.41,1367.02,0.0,179093.08
Hesburger Narva Pähklimägi,153754.8,154113.55,153422.52,155970.97,154936.42,152938.7,153937.67,211752.33,179010.91,115236.44,107116.23,107779.34,105520.41,105314.8,160153.47,72231.87,84162.97,73816.23,11142.95,10303.56,1369.79,6996.14,22865.96,11337.34,10422.28,13827.08,8425.99,12383.22,5954.2,8178.06,6314.98,10553.55,6201.7,7472.53,10177.14,9696.54,9078.38,7017.98,10597.66,7102.38,9884.75,6777.4,15302.34,66752.03,86895.16,87854.98,135375.73,138409.97,139955.27,178333.47,179093.08,0.0
