,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi,Abja-Paluoja,Antsla,Elva,Jõgeva,Kallaste,Karksi-Nuia,Kehra,Kilingi-Nõmme,Kiviõli,Kunda,Kärdla,Lihula,Loksa,Mustvee,Mõisaküla,Narva-Jõesuu,Otepää,Paldiski,Põltsamaa,Põlva,Püssi,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tamsalu,Tõrva,Türi,Võhma
Hesburger Tartu Anne,0.0,721.66,1546.95,5524.86,5067.6,1792.73,3680.42,82058.99,105043.05,99902.1,190086.27,189111.75,192456.28,192531.47,370554.0,263102.97,171042.14,121174.86,228632.88,206066.84,211746.05,206391.81,195026.67,201045.83,207468.61,199928.05,206060.73,199861.63,208666.83,207681.67,209393.19,204319.13,211024.81,209787.17,202278.66,204462.97,207364.23,207978.83,201638.11,210581.48,204433.02,210839.38,197736.25,131021.55,139925.59,139108.27,153694.92,157909.13,155650.19,196662.58,197717.61,213549.11,124819.31,90655.73,27939.86,53212.68,54596.85,109572.95,165403.27,153577.56,133889.52,169960.53,321022.72,233576.56,181618.88,70061.76,136351.17,190431.59,54138.38,255332.84,67402.88,52126.57,138880.39,73156.23,219307.86,172060.47,175007.48,111202.05,112209.15,76991.4,113629.43,96024.34
Hesburger Tartu Eedeni keskus,721.66,0.0,1590.08,5441.39,5110.73,1835.86,3723.55,81519.84,104949.53,99808.59,189992.73,189018.23,192362.75,192437.95,370460.47,263601.25,171540.44,121673.16,229131.17,206565.16,212244.34,206890.11,195524.97,201544.13,207966.91,200426.34,206559.05,200359.92,209165.14,208179.97,209891.48,204817.44,211523.11,210285.47,202776.95,204961.27,207862.53,208477.13,202136.41,211079.78,204931.31,211337.67,198234.55,131519.86,140423.89,139606.56,154297.14,158511.33,156252.41,197264.8,198319.81,214047.41,124725.8,90562.21,27846.34,53710.98,55199.07,109479.42,165901.56,153484.05,134491.72,170562.73,321521.0,234074.86,182117.17,70663.97,136257.66,191033.81,54044.86,255831.14,67901.18,51587.42,139482.59,73318.66,219806.16,172662.69,175505.78,111700.35,112707.45,76897.88,114127.73,96522.64
Hesburger Tartu Kvartal,1546.95,1590.08,0.0,3996.17,3666.54,686.66,2279.36,81239.13,103520.06,98379.13,188563.28,187588.77,190933.3,191008.48,369031.0,262641.47,170580.66,120713.38,228171.39,205605.36,211284.56,205930.31,194565.19,200584.33,207007.11,199466.55,205599.25,199400.14,208205.34,207220.19,208931.7,203857.64,210563.31,209325.69,201817.17,204001.48,206902.75,207517.33,201176.63,210120.0,203971.53,210377.88,197274.77,130560.07,139464.09,138646.77,154838.13,159052.33,156793.39,197805.78,198860.8,213087.61,123296.34,89132.75,26416.88,52751.19,55740.05,108049.96,164941.78,152054.59,135032.7,171103.72,320561.22,233115.06,181157.38,71204.96,134828.19,191574.8,52615.4,254871.34,66941.39,51306.71,140023.58,74609.05,218846.36,173203.67,174545.98,110740.56,111747.66,75468.41,113167.94,95562.85
Hesburger Tartu Lõunakeskus,5524.86,5441.39,3996.17,0.0,2233.81,4304.19,2862.27,80470.02,100118.8,94977.85,185162.02,184187.5,187532.02,187607.22,365629.75,262094.81,170033.98,124252.95,231710.97,209144.94,214824.14,209469.91,198104.77,204123.92,210546.69,203006.13,209138.83,202939.72,211744.92,210759.77,212471.28,207397.22,214102.91,212865.27,205356.75,207541.06,210442.33,211056.91,204716.2,213659.58,207511.11,213917.45,200814.34,134099.66,143003.67,142186.34,158581.23,162795.44,160536.52,201548.91,202603.92,216627.19,119895.06,85731.48,23015.61,56290.77,59483.17,104648.69,168481.36,148653.31,138775.83,174846.84,320014.56,232568.41,184696.97,74948.08,131426.92,195317.92,49214.13,258410.92,66394.73,50537.6,143766.7,76910.95,222385.95,176946.8,174317.72,111686.21,115287.24,72067.14,112621.27,95016.2
Hesburger Tartu Ringtee Drive-in,5067.6,5110.73,3666.54,2233.81,0.0,3298.23,1425.39,82057.88,101992.97,96852.03,187036.19,186061.67,189406.2,189481.39,367503.91,260567.69,168506.86,122816.08,230274.09,207708.06,213387.25,208033.02,196667.88,202687.03,209109.81,201569.25,207701.95,201502.84,210308.05,209322.89,211034.41,205960.34,212666.02,211428.39,203919.86,206104.19,209005.45,209620.03,203279.33,212222.69,206074.23,212480.58,199377.47,132662.77,141566.8,140749.47,157595.06,161809.25,159550.33,200562.72,201617.73,215190.31,121769.24,87605.66,24889.79,54853.89,58496.98,106522.87,167044.48,150527.5,137789.64,173860.66,318487.44,231041.28,183260.08,73961.89,133301.09,194331.73,51088.3,256974.05,64867.6,52125.46,142780.52,78498.81,220949.06,175960.61,176191.91,108666.77,113850.37,73941.32,111094.15,93489.06
Hesburger Tartu Vabaduse,1792.73,1835.86,686.66,4304.19,3298.23,0.0,1911.04,81689.79,103822.38,98681.43,188865.59,187891.08,191235.61,191310.8,369333.31,261969.48,169908.67,120041.39,227499.41,204933.38,210612.58,205258.34,193893.2,199912.36,206335.13,198794.56,204927.27,198728.16,207533.36,206548.2,208259.72,203185.66,209891.34,208653.7,201145.19,203329.5,206230.77,206845.36,200504.64,209448.02,203299.55,209705.89,196602.78,129888.09,138792.11,137974.78,154317.94,158532.14,156273.2,197285.59,198340.63,212415.63,123598.64,89435.06,26719.19,52079.21,55219.87,108352.27,164269.8,152356.89,134512.53,170583.55,319889.25,232443.09,180485.41,70684.77,135130.5,191054.61,52917.71,254199.36,66269.41,51757.37,139503.41,74790.84,218174.39,172683.48,173874.02,110068.58,111075.68,75770.73,112495.95,94890.88
Hesburger Tartu Veeriku,3680.42,3723.55,2279.36,2862.27,1425.39,1911.04,0.0,81481.03,102591.09,97450.14,187634.3,186659.78,190004.31,190079.5,368102.03,263357.0,171296.17,121428.89,228886.91,206320.88,212000.08,206645.84,195280.7,201299.86,207722.63,200182.06,206314.77,200115.66,208920.86,207935.7,209647.22,204573.16,211278.84,210041.2,202532.69,204717.0,207618.27,208232.86,201892.14,210835.52,204687.05,211093.39,197990.28,131275.59,140179.61,139362.28,156207.88,160422.08,158163.14,199175.53,200230.55,213803.13,122367.35,88203.77,25487.89,53466.71,57109.8,107120.98,165657.3,151125.61,136402.45,172473.48,321276.75,233830.59,181872.91,72574.71,133899.22,192944.55,51686.41,255586.86,67656.91,51548.61,141393.34,77921.97,219561.89,174573.42,176790.02,111456.08,112463.18,74539.43,113883.45,96278.38
Hesburger Võru,82058.99,81519.84,81239.13,80470.02,82057.88,81689.79,81481.03,0.0,77442.41,139697.83,195433.66,194459.14,197803.66,197878.86,375901.38,312875.97,252259.75,201727.38,309185.41,286619.38,292298.56,286944.34,275579.19,281598.34,288021.13,280480.56,286613.25,280414.16,289219.34,288234.19,289945.72,284871.66,291577.34,290339.69,282831.19,285015.5,287916.75,288531.34,282190.63,291134.0,284985.53,291391.88,278288.78,211574.08,220478.11,219660.78,226549.2,230763.41,228504.48,269516.88,270571.88,294101.63,130166.7,34810.38,82859.28,133765.2,115455.02,114920.33,245955.78,158924.95,206743.8,242814.81,370795.69,260053.2,262171.41,142916.05,141698.56,263285.88,56432.84,335885.34,147955.41,30225.33,211734.67,49768.95,299860.38,244914.75,197023.23,167117.33,192761.67,82318.67,194181.95,176576.86
Hesburger Valga Rimi,105043.05,104949.53,103520.06,100118.8,101992.97,103822.38,102591.09,77442.41,0.0,87741.03,129650.08,128675.57,132020.09,132095.28,310117.81,255109.95,200302.95,164286.94,247249.97,245748.52,249371.19,253292.98,267048.59,257843.89,259613.23,262751.0,256541.5,260745.59,253823.39,257761.27,255215.75,258400.67,256297.72,258062.86,257681.53,257188.31,257998.06,254883.75,258265.59,257548.72,257539.16,257097.34,261766.45,233706.67,242610.7,241793.38,258099.42,262313.63,260054.7,301067.09,302122.09,248627.03,76496.39,40692.43,77459.77,155897.8,159001.36,61064.9,231140.33,93141.39,238294.02,274365.03,313029.69,194269.64,265381.25,174466.27,75858.06,294836.09,52175.78,280060.13,122316.86,89157.91,243284.89,114468.44,248567.47,276464.97,131239.67,115160.52,214894.27,30361.87,152439.47,125191.17
Hesburger Viljandi,99902.1,99808.59,98379.13,94977.85,96852.03,98681.43,97450.14,139697.83,87741.03,0.0,81880.15,80905.64,84250.16,84325.36,262347.88,185772.92,111727.12,78448.48,158674.14,157172.67,160795.36,164717.14,181210.13,169268.06,171037.41,174175.16,167965.67,172169.75,165247.55,169185.44,166639.92,169824.84,167721.89,169487.02,169105.69,168612.47,169422.23,166307.92,169689.77,168972.88,168963.33,168521.5,175928.0,139244.59,159744.28,160282.33,197210.5,201424.7,199165.77,253405.91,254460.92,160051.2,42019.11,116113.38,74242.33,84881.68,142418.34,38599.45,145301.88,58425.64,177405.08,185103.66,243692.67,146499.7,179542.8,126080.02,54293.48,246270.56,87187.88,184456.94,52014.61,129711.07,182395.97,168930.58,159991.64,226385.27,79958.37,24519.69,127472.53,57379.16,66601.01,39352.71
Hesburger Pärnu Maxima,190086.27,189992.73,188563.28,185162.02,187036.19,188865.59,187634.3,195433.66,129650.08,81880.15,0.0,1148.99,4113.58,2530.86,180553.38,125781.83,106686.71,100234.54,136696.72,147972.0,149517.16,153438.95,175451.11,157989.86,159759.2,162896.95,156687.47,160891.56,153969.34,157907.23,155361.72,158546.64,156443.69,158208.81,157827.48,157334.27,158144.03,155029.72,158411.56,157694.67,157685.13,157243.31,164946.0,161030.64,181530.34,182068.38,242901.31,247115.52,247096.88,301337.0,302392.03,148773.0,66081.0,170342.52,162394.83,151157.64,208694.31,80751.27,166679.3,37951.96,220238.39,206889.7,183701.58,64705.2,200920.22,192355.98,54045.45,295854.84,162318.19,150731.98,118290.58,206778.58,225229.27,232089.11,138121.16,275969.56,10527.9,82230.44,149258.59,113114.98,88377.34,90881.65
Hesburger Pärnu Kaubamajakas,189111.75,189018.23,187588.77,184187.5,186061.67,187891.08,186659.78,194459.14,128675.57,80905.64,1148.99,0.0,3612.93,3574.55,181597.08,126702.8,107607.67,99249.41,137617.67,148892.97,150438.13,154359.91,176372.08,158910.81,160680.17,163817.92,157608.42,161812.52,154890.31,158828.2,156282.67,159467.59,157364.66,159129.78,158748.45,158255.23,159065.0,155950.67,159332.52,158615.64,158606.09,158164.27,165866.95,160045.53,180545.22,181083.25,241916.19,246130.39,246111.75,300351.88,301406.91,149693.95,65106.5,169368.0,161420.33,150172.53,207709.19,79776.76,165694.17,36977.45,219253.27,205904.58,184622.55,65748.91,199935.09,191370.86,53070.94,294869.72,161343.67,151652.95,117305.45,205804.08,224244.14,231114.61,139042.13,274984.44,9542.77,81245.31,148273.47,112140.47,87392.22,89896.52
Hesburger Pärnu Niidu Drive,192456.28,192362.75,190933.3,187532.02,189406.2,191235.61,190004.31,197803.66,132020.09,84250.16,4113.58,3612.93,0.0,4012.01,181151.69,123565.36,104470.24,102593.94,134480.25,145755.53,147300.69,151222.48,173234.64,155773.39,157542.73,160680.48,154471.0,158675.09,151752.88,155690.77,153145.25,156330.17,154227.22,155992.34,155611.02,155117.8,155927.56,152813.25,156195.09,155478.2,155468.66,155026.84,162729.53,163390.05,183889.75,184427.78,245260.7,249474.91,249456.27,303696.41,304751.41,146556.53,68451.02,172712.53,164764.84,153517.05,211053.7,83121.28,163691.0,40321.97,222597.78,209249.11,181485.11,64256.07,197931.92,194715.39,56415.46,298214.25,164688.2,148515.52,120649.98,209148.59,227588.67,234459.13,135904.69,278328.94,12887.3,84589.84,151617.98,115484.99,90736.73,93241.05
Hesburger Pärnu Port Artur,192531.47,192437.95,191008.48,187607.22,189481.39,191310.8,190079.5,197878.86,132095.28,84325.36,2530.86,3574.55,4012.01,0.0,178051.92,123279.81,104184.7,102679.75,134194.7,145469.98,147015.14,150936.94,172949.09,155487.84,157257.19,160394.94,154185.45,158389.55,151467.33,155405.22,152859.7,156044.63,153941.67,155706.8,155325.47,154832.25,155642.02,152527.7,155909.55,155192.66,155183.11,154741.3,162443.98,163475.86,183975.55,184513.58,245346.52,249560.72,249542.08,303782.22,304837.22,146270.98,68526.21,172787.72,164840.03,153602.86,211139.52,83196.48,163405.45,40397.17,222683.59,209334.91,181199.56,62203.19,197646.38,194801.19,56490.66,298300.03,164763.39,148229.97,120735.79,209223.78,227674.47,234534.33,135619.14,278414.75,12973.1,84675.64,151703.8,115560.19,90822.55,93326.85
Hesburger Kuressaare Auriga keskuses,370554.0,370460.47,369031.0,365629.75,367503.91,369333.31,368102.03,375901.38,310117.81,262347.88,180553.38,181597.08,181151.69,178051.92,0.0,144970.41,195395.34,258031.39,229994.2,249005.84,246870.17,254684.98,276726.69,260714.45,257845.7,264172.53,256846.05,262167.13,253412.91,255206.94,253914.03,259792.69,252144.94,253125.92,259103.06,258580.31,256794.08,254890.44,259687.13,252457.09,258872.13,252341.39,266221.56,287464.06,315440.69,316773.81,382775.06,386989.28,389135.56,442438.72,443493.75,245272.31,246548.73,350810.25,342862.56,314782.69,372319.34,261219.0,262812.78,218419.69,360112.16,356893.56,123586.05,116655.11,307382.5,355981.03,234513.19,435728.59,342785.91,227679.09,281915.63,387246.31,365103.03,412556.84,239546.0,415843.31,190995.63,262698.16,296708.81,293582.72,234103.08,252990.52
Hesburger Haapsalu,263102.97,263601.25,262641.47,262094.81,260567.69,261969.48,263357.0,312875.97,255109.95,185772.92,125781.83,126702.8,123565.36,123279.81,144970.41,0.0,92252.51,160708.86,85044.24,104055.89,101920.22,109735.03,131776.72,115764.5,112895.74,119222.57,111896.09,117217.16,108462.95,110256.98,108964.07,114842.72,107194.98,108175.97,114153.1,113630.36,111844.12,109940.48,114737.17,107507.14,113922.17,107391.43,121271.6,179718.22,207694.84,209027.97,275029.22,279243.41,281389.69,334692.88,335747.91,100322.36,191540.88,287543.13,255061.44,228730.64,302713.47,199806.81,138551.27,163411.83,252366.3,232632.03,57940.2,61996.71,188315.63,275041.84,179505.33,327982.75,270244.66,82729.13,195765.02,313723.06,257357.17,335690.72,94596.05,308097.47,127552.21,164547.41,200429.73,230557.28,150572.22,167762.64
Hesburger Rapla,171042.14,171540.44,170580.66,170033.98,168506.86,169908.67,171296.17,252259.75,200302.95,111727.12,106686.71,107607.67,104470.24,104184.7,195395.34,92252.51,0.0,68630.1,47553.54,45533.87,49156.55,53078.34,69269.33,57629.25,59398.6,62536.36,56326.86,60530.95,53608.75,57546.63,55001.11,58186.03,56083.09,57848.22,57466.89,56973.67,57783.43,54669.11,58050.96,57334.07,57324.52,56882.7,64585.39,106270.03,134246.66,135579.77,201581.02,205795.22,207941.5,261244.69,262299.69,48412.39,137645.89,228675.3,176757.5,136651.88,201491.41,150627.52,67632.64,124834.62,178918.09,161713.41,150172.25,79997.39,112202.37,180845.55,139707.05,254534.55,198760.92,73336.34,103704.19,221662.23,183908.98,243629.89,48352.83,234649.27,91703.95,86243.47,107307.52,169941.08,58511.4,89458.7
Hesburger Paide Drive-in,121174.86,121673.16,120713.38,124252.95,122816.08,120041.39,121428.89,201727.38,164286.94,78448.48,100234.54,99249.41,102593.94,102679.75,258031.39,160708.86,68630.1,0.0,111550.65,89565.12,101061.64,96864.24,104143.42,91901.02,100334.02,99411.57,100112.76,99855.15,98136.22,101490.0,99450.23,97323.52,101096.05,102675.91,95078.87,97269.99,101569.32,98805.27,95041.66,102459.59,97280.19,101845.09,98861.3,60891.09,81390.8,81928.83,142761.77,146975.95,146957.31,201197.45,202252.47,102522.85,115059.53,192659.28,124840.7,68189.1,133028.63,119585.2,68997.41,113924.19,120098.84,106750.16,218628.59,142633.44,103238.33,112500.49,127434.19,195715.28,151395.8,138250.61,49757.46,171794.97,125089.72,193762.61,102451.13,175830.0,89892.54,55201.15,49119.04,133925.08,11976.57,39727.78
Hesburger Keila Selver,228632.88,229131.17,228171.39,231710.97,230274.09,227499.41,228886.91,309185.41,247249.97,158674.14,136696.72,137617.67,134480.25,134194.7,229994.2,85044.24,47553.54,111550.65,0.0,26220.79,17074.3,24889.12,46930.81,30918.58,28049.83,34376.66,27050.18,32371.25,23617.04,25411.06,24118.16,29996.81,22349.06,23330.05,29307.19,28784.44,26998.2,25094.57,29891.26,22661.23,29076.26,22545.51,36425.69,107795.39,135772.02,137105.13,203106.39,207320.58,209466.86,262770.03,263825.06,15476.45,184592.91,275622.31,223704.52,182903.81,230790.63,197574.53,63654.32,174326.72,180443.47,157678.45,142963.98,110007.4,103469.71,203119.0,190420.2,256059.91,245707.94,26898.29,160242.59,279252.97,185434.34,301220.63,9750.13,236174.63,138467.09,133190.48,128506.89,216888.09,122145.43,136405.72
Hesburger Luige Drive-in,206066.84,206565.16,205605.36,209144.94,207708.06,204933.38,206320.88,286619.38,245748.52,157172.67,147972.0,148892.97,145755.53,145469.98,249005.84,104055.89,45533.87,89565.12,26220.79,0.0,13623.93,9426.53,30809.81,10741.06,15746.78,18061.24,12675.04,16055.84,10698.51,14052.28,12012.52,14534.21,13658.33,15238.21,13396.95,13321.85,14131.61,11367.55,13623.52,15021.88,13672.7,14407.37,19906.86,85229.37,113205.99,114539.1,180540.36,184754.56,186900.84,240204.02,241259.05,14310.58,183091.44,274120.84,213024.03,160337.8,208224.61,196073.08,39792.8,170280.17,157877.44,130738.3,161975.64,121282.68,86896.55,180552.97,185152.61,233493.89,239579.13,52920.75,138257.06,256686.95,162868.31,278654.59,17121.28,213608.61,137149.52,131689.03,105940.87,215386.64,100159.9,127911.11
Hesburger Tallinn Laagri,211746.05,212244.34,211284.56,214824.14,213387.25,210612.58,212000.08,292298.56,249371.19,160795.36,149517.16,150438.13,147300.69,147015.14,246870.17,101920.22,49156.55,101061.64,17074.3,13623.93,0.0,7913.94,29955.63,13943.41,12956.65,17401.48,10184.0,15396.08,6750.86,9839.63,7251.98,13021.63,7094.6,8859.73,12332.01,11809.27,11090.13,8228.39,12916.08,8345.59,12160.12,7894.22,19450.51,90908.56,118885.19,120218.3,186219.55,190433.75,192580.03,245883.22,246938.23,1902.52,186714.13,277743.53,224520.56,166016.98,213903.8,199695.77,46767.49,173902.86,163556.64,140703.28,159839.97,122827.84,86494.53,186232.17,188775.3,239173.08,247829.17,43774.27,149753.59,262366.16,168547.52,284333.78,7749.28,219287.8,140772.19,135311.72,111620.06,219009.33,111656.43,139407.64
Hesburger Tallinn Järve,206391.81,206890.11,205930.31,209469.91,208033.02,205258.34,206645.84,286944.34,253292.98,164717.14,153438.95,154359.91,151222.48,150936.94,254684.98,109735.03,53078.34,96864.24,24889.12,9426.53,7913.94,0.0,22104.04,6902.08,6418.71,9549.89,3346.97,7544.49,2326.87,4724.21,3158.76,5206.14,4957.29,6219.58,4480.42,3993.78,4803.54,2348.33,5064.49,6304.22,4344.63,5678.51,11598.92,85554.33,113530.95,114864.06,180865.31,185079.52,187225.8,240528.98,241584.0,9717.0,190635.92,281665.34,231973.73,160662.75,208549.56,203617.55,41413.26,177824.66,158202.41,132851.69,167654.78,126749.63,78642.95,180877.94,192697.09,233818.84,258172.25,51589.08,145556.19,257011.91,163193.28,278979.56,15564.1,213933.56,144693.98,139233.5,106265.83,222931.11,107459.02,135210.23
Hesburger Maardu,195026.67,195524.97,194565.19,198104.77,196667.88,193893.2,195280.7,275579.19,267048.59,181210.13,175451.11,176372.08,173234.64,172949.09,276726.69,131776.72,69269.33,104143.42,46930.81,30809.81,29955.63,22104.04,0.0,20393.79,21318.62,12632.87,20909.37,14693.74,24348.08,22271.4,24356.15,18146.1,25725.44,24422.64,17939.8,19043.76,21779.96,22975.02,17350.35,25218.78,18795.97,25540.0,10939.54,74189.19,102165.81,103498.92,166873.13,173714.38,175860.66,222713.67,223768.69,31758.69,206826.91,283324.47,220608.59,149297.61,197184.42,222346.84,30048.12,194015.64,146837.27,112096.6,189696.47,148761.8,57887.86,169512.8,208888.08,215349.66,246807.11,73647.29,140946.06,245646.77,151828.14,267614.41,37605.79,195464.36,160884.97,157962.8,94900.69,236686.72,114738.21,142489.42
Hesburger Peetri Selver,201045.83,201544.13,200584.33,204123.92,202687.03,199912.36,201299.86,281598.34,257843.89,169268.06,157989.86,158910.81,155773.39,155487.84,260714.45,115764.5,57629.25,91901.02,30918.58,10741.06,13943.41,6902.08,20393.79,0.0,8499.87,7645.22,6984.93,5639.82,9177.11,8605.87,9903.46,5489.38,11689.39,10711.36,3244.72,5435.84,8359.07,8543.24,3207.51,11505.67,5446.04,11763.56,9490.84,80208.34,108184.96,109518.08,175519.33,179733.53,181879.81,235183.0,236238.02,15746.47,195186.83,286216.25,226627.75,155316.77,203203.58,208168.45,36067.27,182375.56,152856.42,130689.27,173684.25,131300.53,76480.54,175531.94,197248.0,228472.86,252826.27,57618.55,140592.95,251665.92,157847.3,273633.56,21593.56,208587.58,149244.89,143784.41,100919.84,227482.03,102495.8,130247.01
Hesburger Tallinn Arsenali keskus,207468.61,207966.91,207007.11,210546.69,209109.81,206335.13,207722.63,288021.13,259613.23,171037.41,159759.2,160680.17,157542.73,157257.19,257845.7,112895.74,59398.6,100334.02,28049.83,15746.78,12956.65,6418.71,21318.62,8499.87,0.0,9824.82,3232.44,7756.62,6480.7,3264.94,5827.16,3276.65,6496.97,4840.67,5330.01,3255.97,1948.96,5127.02,6203.13,5636.82,3132.69,5984.45,11855.56,86631.12,114607.74,115940.85,181942.11,186156.31,188302.59,241605.78,242660.8,14475.61,196956.17,287985.59,233050.53,161739.55,209626.36,209937.81,42490.05,184144.91,159279.19,132819.14,170815.48,133069.89,78610.41,181954.72,199017.34,234895.64,259249.05,54065.33,149025.95,258088.7,164270.06,280056.34,20497.8,215010.36,151014.23,145553.77,107342.62,229251.38,110928.8,138680.02
Hesburger Tallinn Lasnamäe Centrum,199928.05,200426.34,199466.55,203006.13,201569.25,198794.56,200182.06,280480.56,262751.0,174175.16,162896.95,163817.92,160680.48,160394.94,264172.53,119222.57,62536.36,99411.57,34376.66,18061.24,17401.48,9549.89,12632.87,7645.22,9824.82,0.0,9127.89,2139.59,11824.92,10576.61,12525.21,6683.95,14030.65,12727.85,5375.0,7254.8,10085.17,11070.89,4796.19,13523.99,7159.08,13845.21,2323.92,79090.56,107067.18,108400.3,174401.55,178615.75,180762.03,234065.22,235120.23,19204.54,200093.94,288225.84,225509.97,154198.98,202085.8,213075.56,34949.49,187282.66,151738.63,123426.81,177142.31,136207.64,69218.07,174414.16,202155.09,227355.08,251708.48,61952.5,148103.52,250548.14,156729.52,272515.78,25051.64,207469.8,154152.0,148691.52,99802.06,232389.13,110006.35,137757.56
Hesburger Tallinn Kristiine keskus,206060.73,206559.05,205599.25,209138.83,207701.95,204927.27,206314.77,286613.25,256541.5,167965.67,156687.47,157608.42,154471.0,154185.45,256846.05,111896.09,56326.86,100112.76,27050.18,12675.04,10184.0,3346.97,20909.37,6984.93,3232.44,9127.89,0.0,7091.35,3483.19,1600.04,3568.41,3127.82,4970.2,3732.56,3844.7,1967.15,1599.8,2065.65,4717.83,4526.87,2198.9,4784.76,11176.93,85223.26,113199.88,114532.99,180534.25,184748.45,186894.73,240197.92,241252.94,11702.96,193884.44,284913.84,231642.66,160331.69,208218.5,206866.06,41082.19,181073.17,157871.33,132342.27,169815.84,129998.15,78133.52,180546.86,195945.61,233487.78,257841.19,52955.38,148804.7,256680.84,162862.2,278648.5,17725.16,213602.5,147942.5,142482.02,105934.76,226179.64,110707.54,138458.75
Hesburger Tallinn Lasnamäe Smuuli,199861.63,200359.92,199400.14,202939.72,201502.84,198728.16,200115.66,280414.16,260745.59,172169.75,160891.56,161812.52,158675.09,158389.55,262167.13,117217.16,60530.95,99855.15,32371.25,16055.84,15396.08,7544.49,14693.74,5639.82,7756.62,2139.59,7091.35,0.0,9819.51,8540.07,10488.67,4615.75,11994.11,10691.31,3369.6,5218.26,8048.63,9034.35,2790.79,11487.45,5090.88,11808.67,4194.91,79024.14,107000.77,108333.88,174335.14,178549.33,180695.63,233998.8,235053.81,17199.14,198088.53,289117.94,225443.55,154132.56,202019.38,211070.16,34883.07,185277.27,151672.22,125414.88,175136.91,134202.23,71206.13,174347.75,200149.7,227288.66,251642.06,59915.96,148547.09,250481.72,156663.09,272449.38,23046.23,207403.38,152146.59,146686.11,99735.64,230383.72,110449.94,138201.14
Hesburger Tallinn Magistral,208666.83,209165.14,208205.34,211744.92,210308.05,207533.36,208920.86,289219.34,253823.39,165247.55,153969.34,154890.31,151752.88,151467.33,253412.91,108462.95,53608.75,98136.22,23617.04,10698.51,6750.86,2326.87,24348.08,9177.11,6480.7,11824.92,3483.19,9819.51,0.0,4132.71,1546.48,6627.29,3113.94,4815.89,6755.45,5436.95,4771.08,1527.58,7339.52,4477.48,5698.37,3862.97,13873.95,87829.35,115805.98,117139.09,183140.34,187354.55,189500.83,242804.02,243859.03,8269.82,191166.31,282195.72,221595.14,162937.78,210824.59,204147.95,43688.29,178355.05,160477.42,135126.72,166382.7,127280.03,80917.97,183152.95,193227.48,236093.88,260447.28,50418.51,146828.17,259286.94,165468.3,281254.59,14292.02,216208.59,145224.39,139763.91,108540.85,223461.52,108731.01,136482.22
Hesburger Tallinn Merimetsa Selver,207681.67,208179.97,207220.19,210759.77,209322.89,206548.2,207935.7,288234.19,257761.27,169185.44,157907.23,158828.2,155690.77,155405.22,255206.94,110256.98,57546.63,101490.0,25411.06,14052.28,9839.63,4724.21,22271.4,8605.87,3264.94,10576.61,1600.04,8540.07,4132.71,0.0,2888.06,4489.97,3531.11,2210.71,5465.63,3415.87,1679.57,2964.58,6338.76,3006.85,3561.05,3345.68,12625.65,86844.2,114820.81,116153.93,182155.19,186369.39,188515.67,241818.84,242873.86,11358.6,195104.2,286133.63,233263.59,161952.63,209839.42,208085.84,42703.12,182292.94,159492.27,133704.3,168176.72,131217.92,79495.55,182167.8,197165.38,235108.72,259462.11,51435.37,150181.94,258301.78,164483.14,280269.44,17380.79,215223.42,149162.27,143701.8,107555.7,227399.41,112084.78,139836.0
