,Hesburger Tartu Anne,Hesburger Tartu Eedeni keskus,Hesburger Tartu Kvartal,Hesburger Tartu Lõunakeskus,Hesburger Tartu Ringtee Drive-in,Hesburger Tartu Vabaduse,Hesburger Tartu Veeriku,Hesburger Võru,Hesburger Valga Rimi,Hesburger Viljandi,Hesburger Pärnu Maxima,Hesburger Pärnu Kaubamajakas,Hesburger Pärnu Niidu Drive,Hesburger Pärnu Port Artur,Hesburger Kuressaare Auriga keskuses,Hesburger Haapsalu,Hesburger Rapla,Hesburger Paide Drive-in,Hesburger Keila Selver,Hesburger Luige Drive-in,Hesburger Tallinn Laagri,Hesburger Tallinn Järve,Hesburger Maardu,Hesburger Peetri Selver,Hesburger Tallinn Arsenali keskus,Hesburger Tallinn Lasnamäe Centrum,Hesburger Tallinn Kristiine keskus,Hesburger Tallinn Lasnamäe Smuuli,Hesburger Tallinn Magistral,Hesburger Tallinn Merimetsa Selver,Hesburger Tallinn Mustamäe,Hesburger Tallinn Nautica Keskus,Hesburger Tallinn Nurmenuku,Hesburger Tallinn Rocca Al Mare,Hesburger Tallinn Sikupilli,Hesburger Tallinn Solaris Keskus,Hesburger Tallinn Sõle,Hesburger Tallinn Sõpruse,Hesburger Tallinn T1,Hesburger Tallinn Unibet Arena,Hesburger Tallinn Viru tn.,Hesburger Tallinn Õismäe Maxima,Hesburger Tallinn Ümera,Hesburger Tapa Drive-in,Hesburger Rakvere Põhjakeskus,Hesburger Rakvere Vaala Keskus,Hesburger Kohtla-Järve Vironia Keskus,Hesburger Jõhvi,Hesburger Ahtme Maxima,Hesburger Narva Fama Keskus,Hesburger Narva Juuli,Hesburger Narva Pähklimägi,Abja-Paluoja,Antsla,Elva,Jõgeva,Kallaste,Karksi-Nuia,Kehra,Kilingi-Nõmme,Kiviõli,Kunda,Kärdla,Lihula,Loksa,Mustvee,Mõisaküla,Narva-Jõesuu,Otepää,Paldiski,Põltsamaa,Põlva,Püssi,Räpina,Saue,Sillamäe,Sindi,Suure-Jaani,Tamsalu,Tõrva,Türi,Võhma
Hesburger Tartu Anne,0.0,519.58,1113.77,3977.82,3648.56,1290.72,2649.81,59082.2,75630.72,71929.23,136861.64,136160.0,138568.03,138622.16,266798.34,189433.69,123149.94,87245.6,164615.09,148367.75,152456.61,148601.63,140418.8,144752.56,149376.84,143947.75,148363.2,143899.94,150239.59,149530.22,150762.53,147109.27,151937.25,151046.17,145640.17,147212.83,149301.69,149744.19,145178.98,151618.05,147191.27,151803.75,142369.69,94335.28,100746.16,100157.66,110660.13,113694.36,112067.91,141596.72,142356.34,153754.8,89869.52,65271.85,20116.54,38312.98,39309.63,78892.19,119090.04,110575.42,96400.27,122371.35,221250.47,168174.7,130765.27,50444.34,98172.45,137110.45,38979.42,183838.97,48529.91,37530.95,99993.69,52672.33,157901.11,123883.27,126005.01,80065.2,80790.38,55433.54,81812.93,69137.28
Hesburger Tartu Eedeni keskus,519.58,0.0,1144.84,3917.73,3679.64,1321.8,2680.88,58694.02,75563.4,71861.91,136794.33,136092.67,138500.72,138554.84,266731.03,189792.45,123508.7,87604.35,164973.84,148726.52,152815.38,148960.38,140777.56,145111.33,149735.59,144306.52,148721.95,144258.69,150598.34,149888.98,151121.28,147468.02,152296.0,151404.92,145998.92,147571.58,149660.45,150102.94,145537.75,151976.8,147550.02,152162.5,142728.45,94694.03,101104.91,100516.41,111093.7,114127.94,112501.48,142030.3,142789.92,154113.55,89802.2,65204.54,20049.22,38671.73,39743.21,78824.87,119448.8,110508.11,96833.85,122804.93,221609.22,168533.45,131124.02,50877.92,98105.13,137544.03,38912.11,184197.72,48888.66,37142.78,100427.27,52789.26,158259.86,124316.84,126363.77,80423.95,81149.13,55366.23,82171.68,69496.04
Hesburger Tartu Kvartal,1113.77,1144.84,0.0,2877.2,2639.84,494.38,1641.09,58491.9,74534.21,70832.73,135765.14,135063.48,137471.53,137525.66,265701.84,189101.41,122817.66,86913.32,164282.81,148035.47,152124.34,148269.34,140086.53,144420.3,149044.56,143615.48,148030.92,143567.66,149907.31,149197.95,150430.25,146776.98,151604.97,150713.89,145307.89,146880.55,148969.41,149411.91,144846.72,151285.77,146858.98,151471.47,142037.42,94003.0,100413.88,99825.38,111483.21,114517.45,112890.99,142419.81,143179.42,153422.52,88773.02,64175.35,19020.04,37980.7,40132.72,77795.68,118757.76,109478.92,97223.36,123194.44,220918.19,167842.42,130432.99,51267.43,97075.95,137933.53,37882.91,183506.69,48197.63,36940.66,100816.77,53718.33,157568.83,124706.34,125672.73,79732.92,80458.1,54337.04,81480.65,68805.01
Hesburger Tartu Lõunakeskus,3977.82,3917.73,2877.2,0.0,1608.32,3098.96,2060.8,57938.16,72085.33,68383.84,133316.25,132614.61,135022.64,135076.77,263252.97,188707.81,122424.06,89461.77,166831.25,150583.92,154672.78,150817.78,142634.97,146968.73,151593.02,146163.92,150579.36,146116.09,152455.77,151746.39,152978.7,149325.42,154153.42,153262.34,147856.34,149428.98,151517.86,151960.36,147395.16,153834.22,149407.44,154019.91,144585.86,96551.45,102962.32,102373.83,114178.2,117212.45,115585.99,145114.81,145874.42,155970.97,86324.13,61726.46,16571.15,40529.15,42827.71,75346.8,121306.21,107030.03,99918.36,125889.44,220524.59,167448.83,132981.44,53962.43,94627.06,140628.53,35434.03,186055.14,47804.03,36386.91,103511.77,55375.71,160117.28,127401.34,125508.42,80413.88,83006.55,51888.15,81087.05,68411.41
Hesburger Tartu Ringtee Drive-in,3648.56,3679.64,2639.84,1608.32,0.0,2374.67,1026.26,59081.39,73434.73,69733.24,134665.64,133964.0,136372.05,136426.17,264602.34,187608.31,121324.55,88427.23,165796.72,149549.39,153638.25,149783.25,141600.44,145934.2,150558.47,145129.39,149544.83,145081.56,151421.22,150711.86,151944.16,148290.89,153118.88,152227.8,146821.8,148394.45,150483.33,150925.81,146360.63,152799.67,148372.89,152985.38,143551.33,95516.91,101927.78,101339.29,113468.16,116502.39,114875.95,144404.77,145164.38,154936.42,87673.52,63075.86,17920.55,39494.61,42117.67,76696.2,120271.67,108379.43,99208.3,125179.38,219425.09,166349.31,131946.89,53252.38,95976.46,139918.48,36783.43,185020.59,46704.52,37530.14,102801.72,56518.95,159082.73,126691.3,126857.82,78239.81,81972.01,53237.55,79987.54,67311.9
Hesburger Tartu Vabaduse,1290.72,1321.8,494.38,3098.96,2374.67,0.0,1375.92,58816.36,74751.86,71050.38,135982.78,135281.14,137689.17,137743.3,265919.5,188617.59,122333.85,86429.51,163799.0,147551.66,151640.53,147785.53,139602.72,143936.47,148560.75,143131.66,147547.11,143083.84,149423.5,148714.14,149946.44,146293.17,151121.16,150230.08,144824.08,146396.73,148485.59,148928.09,144362.89,150801.95,146375.17,150987.66,141553.61,93519.19,99930.06,99341.56,111108.69,114142.92,112516.48,142045.28,142804.91,152938.7,88990.66,64393.0,19237.68,37496.89,39758.2,78013.33,118273.95,109696.56,96848.84,122819.91,220434.38,167358.61,129949.18,50892.91,97293.59,137559.02,38100.56,183022.88,47713.82,37265.11,100442.25,53849.23,157085.02,124331.83,125188.92,79249.11,79974.29,54554.69,80996.84,68321.2
Hesburger Tartu Veeriku,2649.81,2680.88,1641.09,2060.8,1026.26,1375.92,0.0,58666.08,73865.34,70163.86,135096.27,134394.63,136802.66,136856.8,265032.97,189616.56,123332.82,87428.48,164797.97,148550.63,152639.5,148784.5,140601.67,144935.44,149559.72,144130.63,148546.08,144082.81,150422.47,149713.11,150945.41,147292.14,152120.13,151229.05,145823.05,147395.7,149484.56,149927.06,145361.86,151800.92,147374.14,151986.63,142552.56,94518.16,100929.03,100340.53,112469.41,115503.64,113877.19,143406.0,144165.63,153937.67,88104.15,63506.48,18351.17,38495.86,41118.91,77126.81,119272.91,108810.05,98209.55,124180.63,221433.34,168357.58,130948.14,52253.63,96407.08,138919.73,37214.05,184021.84,48712.78,37114.84,101802.97,56103.63,158083.98,125692.55,127288.45,80248.07,80973.26,53668.18,81995.8,69320.16
Hesburger Võru,59082.2,58694.02,58491.9,57938.16,59081.39,58816.36,58666.08,0.0,55758.39,100582.14,140711.86,140010.22,142418.25,142472.38,270648.56,225270.14,181626.53,145243.14,222612.63,206365.3,210454.16,206599.16,198416.34,202750.11,207374.38,201945.3,206360.73,201897.47,208237.13,207527.77,208760.06,205106.8,209934.78,209043.7,203637.7,205210.36,207299.23,207741.72,203176.53,209615.59,205188.8,209801.28,200367.23,152332.81,158743.69,158155.19,163299.02,166333.25,164706.8,194235.61,194995.22,211752.33,93719.73,25063.42,59658.5,96310.52,83311.35,82742.41,177087.58,114425.64,149039.16,175010.23,257086.91,187237.78,188762.8,103083.23,102022.67,189749.33,40631.52,241836.5,106527.45,21762.11,152632.58,35833.52,215898.66,176522.14,141856.34,120324.15,138787.92,59269.29,139810.47,127134.82
Hesburger Valga Rimi,75630.72,75563.4,74534.21,72085.33,73434.73,74751.86,73865.34,55758.39,0.0,63173.32,93347.88,92646.24,95054.28,95108.41,223284.59,183678.77,144217.72,118286.23,178019.45,176938.42,179546.7,182370.36,192274.42,185647.02,186920.84,189180.05,184709.25,187736.17,182752.23,185587.45,183754.69,186047.8,184533.75,185804.58,185530.09,185174.92,185757.94,183515.67,185950.63,185434.44,185427.53,185109.45,188471.34,168268.31,174679.19,174090.69,185831.11,188865.34,187238.89,216767.7,217527.33,179010.91,55077.32,29298.47,55770.91,112246.02,114480.62,43966.64,166420.63,67061.67,171571.25,197542.33,215495.55,139873.81,191074.03,125615.33,54617.71,212281.44,37566.46,201642.86,88067.95,64193.53,175164.67,82417.08,178968.03,199054.25,94492.38,82915.34,154723.41,21860.47,109756.1,90137.38
Hesburger Viljandi,71929.23,71861.91,70832.73,68383.84,69733.24,71050.38,70163.86,100582.14,63173.32,0.0,58953.59,58251.94,60659.98,60714.11,188890.3,133756.19,80443.26,56482.72,114244.98,113163.96,115772.24,118595.89,130470.91,121872.55,123146.38,125405.58,120934.78,123961.71,118977.77,121812.98,119980.22,122273.34,120759.29,122030.12,121755.63,121400.46,121983.47,119741.21,122176.16,121659.97,121653.07,121334.99,126667.83,100255.83,115015.57,115402.93,141991.25,145025.48,143399.03,182451.84,183211.47,115236.44,30253.58,83601.38,53454.3,61114.63,102540.93,27791.45,104617.11,42066.35,127731.4,133274.2,165572.95,105479.51,129270.51,90777.34,39091.11,177314.39,62775.05,132808.53,37450.41,93391.62,131324.81,121629.66,115193.56,162997.03,57569.9,17654.08,91779.98,41312.86,47952.58,28333.87
Hesburger Pärnu Maxima,136861.64,136794.33,135765.14,133316.25,134665.64,135982.78,135096.27,140711.86,93347.88,58953.59,0.0,827.25,2961.74,1822.19,129998.38,90562.66,76814.2,72168.59,98421.35,106539.55,107652.03,110475.69,126324.24,113752.34,115026.16,117285.37,112814.57,115841.5,110857.55,113692.78,111860.01,114153.13,112639.08,113909.91,113635.42,113280.25,113863.26,111621.0,114055.95,113539.76,113532.86,113214.78,118760.63,115941.7,130701.45,131088.8,174888.45,177922.69,177909.28,216962.09,217721.7,107116.23,47578.23,122646.36,116923.97,108833.16,150259.45,58140.78,120008.82,27325.35,158571.22,148960.08,122379.45,46587.59,144662.22,138495.88,38912.64,213014.89,116868.78,108526.76,85168.95,148880.19,162164.64,167103.75,99446.96,198697.53,7580.03,59205.71,107465.84,81442.57,63631.45,65434.58
Hesburger Pärnu Kaubamajakas,136160.0,136092.67,135063.48,132614.61,133964.0,135281.14,134394.63,140010.22,92646.24,58251.94,827.25,0.0,2601.28,2573.64,130749.82,91225.77,77477.3,71459.3,99084.46,107202.66,108315.14,111138.79,126987.35,114415.44,115689.27,117948.47,113477.68,116504.61,111520.66,114355.88,112523.12,114816.23,113302.19,114573.02,114298.53,113943.36,114526.37,112284.11,114719.05,114202.87,114195.97,113877.88,119423.73,115232.41,129992.16,130379.52,174179.17,177213.41,177199.98,216252.81,217012.42,107779.34,46876.58,121944.72,116222.32,108123.88,149550.17,57439.13,119299.54,26623.71,157861.94,148250.8,123042.55,47339.04,143952.94,137786.59,38211.0,212305.61,116167.13,109189.87,84459.66,148178.55,161455.36,166402.09,100110.06,197988.25,6870.75,58496.43,106756.55,80740.93,62922.16,64725.29
Hesburger Pärnu Niidu Drive,138568.03,138500.72,137471.53,135022.64,136372.05,137689.17,136802.66,142418.25,95054.28,60659.98,2961.74,2601.28,0.0,2888.61,130429.15,88966.84,75218.38,73867.34,96825.53,104943.73,106056.21,108879.86,124728.42,112156.52,113430.34,115689.55,111218.75,114245.68,109261.73,112096.95,110264.19,112557.3,111043.26,112314.09,112039.6,111684.43,112267.44,110025.18,112460.13,111943.94,111937.04,111618.96,117164.8,117640.45,132400.2,132787.55,176587.2,179621.45,179608.03,218660.84,219420.47,105520.41,49284.62,124352.76,118630.36,110531.91,151958.22,59847.17,117857.34,29031.75,160269.98,150658.83,120783.62,46264.23,142510.73,140194.63,40619.04,214713.64,118575.17,106930.94,86867.7,150586.58,163863.39,168810.14,97851.13,200396.28,9278.79,60904.46,109164.59,83148.97,65330.2,67133.34
Hesburger Pärnu Port Artur,138622.16,138554.84,137525.66,135076.77,136426.17,137743.3,136856.8,142472.38,95108.41,60714.11,1822.19,2573.64,2888.61,0.0,128197.34,88761.23,75012.77,73929.11,96619.93,104738.12,105850.6,108674.26,124522.81,111950.91,113224.73,115483.94,111013.14,114040.07,109056.13,111891.35,110058.58,112351.7,110837.65,112108.48,111833.99,111478.82,112061.83,109819.57,112254.52,111738.33,111731.44,111413.35,116959.2,117702.22,132461.97,132849.33,176648.98,179683.22,179669.8,218722.63,219482.23,105314.8,49338.75,124406.88,118684.49,110593.68,152019.98,59901.3,117651.73,29085.88,160331.75,150720.59,120578.02,44786.16,142305.13,140256.39,40673.17,214775.41,118629.3,106725.33,86929.47,150640.72,163925.16,168864.27,97645.53,200458.06,9340.55,60966.23,109226.37,83203.09,65391.97,67195.1
Hesburger Kuressaare Auriga keskuses,266798.34,266731.03,265701.84,263252.97,264602.34,265919.5,265032.97,270648.56,223284.59,188890.3,129998.38,130749.82,130429.15,128197.34,0.0,87936.33,138072.28,183170.2,149153.31,162841.64,161303.92,166930.52,182800.33,171271.7,169206.25,173761.45,168486.42,172317.58,166014.63,167306.38,166375.41,170607.95,165101.73,165808.06,170111.5,169735.08,168449.11,167078.41,170532.03,165326.5,169945.17,165243.19,175236.7,204361.64,224504.77,225464.59,272985.34,276019.56,277564.88,315943.06,316702.69,160153.47,177514.94,252583.08,246860.67,224030.95,265457.25,188077.48,186612.7,157262.06,256668.11,254350.73,82425.02,81379.43,218702.84,253693.67,168849.36,311111.78,246805.48,147486.44,200366.73,278816.91,260261.52,297040.47,156030.56,296794.41,137516.75,189142.42,211017.83,211379.28,165941.8,179540.75
Hesburger Haapsalu,189433.69,189792.45,189101.41,188707.81,187608.31,188617.59,189616.56,225270.14,183678.77,133756.19,90562.66,91225.77,88966.84,88761.23,87936.33,0.0,66421.66,115710.17,61231.71,74920.04,73382.31,79008.91,94878.73,83350.1,81284.65,85839.84,80564.81,84395.98,78093.02,79384.77,78453.8,82686.35,77180.14,77886.45,82189.91,81813.48,80527.5,79156.8,82610.43,77404.9,82023.57,77321.58,87315.1,129396.81,149539.94,150499.77,198020.52,201054.75,202600.05,240978.25,241737.86,72231.87,137909.11,207030.56,183643.83,164685.7,217953.22,143860.58,99756.66,117656.23,181703.28,167494.7,31831.5,44637.54,135586.64,198029.7,129243.53,236146.95,194575.64,59564.84,140950.53,225879.98,185296.69,241696.72,68108.95,221829.59,91837.38,118473.88,144309.05,166000.84,108411.79,120788.84
Hesburger Rapla,123149.94,123508.7,122817.66,122424.06,121324.55,122333.85,123332.82,181626.53,144217.72,80443.26,76814.2,77477.3,75218.38,75012.77,138072.28,66421.66,0.0,49413.52,34238.41,32784.25,35392.54,38216.19,49873.66,41492.84,42766.67,45025.87,40555.07,43582.01,38598.06,41433.28,39600.52,41893.63,40379.58,41650.41,41375.93,41020.76,41603.77,39361.51,41796.45,41280.26,41273.37,40955.29,46501.13,76514.2,96657.34,97617.16,145137.91,148172.14,149717.44,188095.64,188855.25,34856.73,99104.79,164645.77,127265.05,98389.05,145073.38,108451.51,48695.37,89880.67,128820.67,116433.41,98238.44,57598.0,80785.52,130208.48,100588.8,183264.34,143107.38,52801.96,74666.78,159596.23,132414.08,175412.97,34813.86,168946.98,66026.58,62095.1,77261.16,122357.25,42128.04,64410.07
Hesburger Paide Drive-in,87245.6,87604.35,86913.32,89461.77,88427.23,86429.51,87428.48,145243.14,118286.23,56482.72,72168.59,71459.3,73867.34,73929.11,183170.2,115710.17,49413.52,0.0,80316.23,64486.71,72764.15,69742.05,74983.03,66168.47,72240.06,71576.14,72080.94,71895.52,70657.85,73072.51,71603.9,70072.57,72788.86,73926.38,68456.45,70034.02,73129.63,71139.55,68429.67,73770.59,70041.36,73328.15,71179.95,43841.48,58601.23,58988.59,102788.24,105822.48,105809.06,144861.89,145621.5,73816.23,82842.69,138714.28,89885.07,49096.0,95780.33,86101.12,49678.03,82025.27,86471.02,76859.87,147526.95,102695.91,74331.43,81000.19,91752.45,140914.69,109004.68,99540.1,35825.22,123691.89,90064.43,139508.64,73764.61,126597.32,64722.41,39744.71,35365.63,96425.77,8623.09,28603.9
Hesburger Keila Selver,164615.09,164973.84,164282.81,166831.25,165796.72,163799.0,164797.97,222612.63,178019.45,114244.98,98421.35,99084.46,96825.53,96619.93,149153.31,61231.71,34238.41,80316.23,0.0,18878.84,12293.4,17919.99,33789.81,22261.19,20195.73,24750.93,19475.9,23307.07,17004.11,18295.85,17364.89,21597.44,16091.22,16797.54,21100.99,20724.56,19438.59,18067.89,21521.51,16315.99,20934.66,16232.67,26226.19,77612.32,97755.45,98715.27,146236.02,149270.25,150815.56,189193.75,189953.38,11142.95,132906.52,198447.5,161066.78,131690.3,166168.72,142253.23,45830.84,125514.92,129918.78,113527.94,93048.48,79205.15,74497.73,146245.2,137102.22,184362.45,176909.09,19366.67,115374.33,201061.38,133512.2,216878.13,7020.04,170045.09,99696.07,95896.82,92524.55,156158.98,87944.46,98211.79
Hesburger Luige Drive-in,148367.75,148726.52,148035.47,150583.92,149549.39,147551.66,148550.63,206365.3,176938.42,113163.96,106539.55,107202.66,104943.73,104738.12,162841.64,74920.04,32784.25,64486.71,18878.84,0.0,9809.14,6787.04,22182.81,7733.5,11337.53,13003.91,9125.93,11560.04,7702.85,10117.5,8648.9,10464.49,9833.85,10971.37,9645.74,9591.61,10174.62,8184.54,9808.82,10815.58,9844.22,10373.15,14332.73,61364.98,81508.12,82467.94,129988.69,133022.92,134568.22,172946.42,173706.05,10303.56,131825.48,197366.47,153376.94,115442.96,149921.39,141172.2,28650.66,122601.37,113671.45,94131.27,106736.82,87323.34,62565.14,129997.88,133309.5,168115.13,172496.55,38102.72,99544.82,184814.05,117264.87,200630.78,12327.23,153797.77,98747.27,94815.8,76277.23,155077.95,72114.95,92095.77
Hesburger Tallinn Laagri,152456.61,152815.38,152124.34,154672.78,153638.25,151640.53,152639.5,210454.16,179546.7,115772.24,107652.03,108315.14,106056.21,105850.6,161303.92,73382.31,35392.54,72764.15,12293.4,9809.14,0.0,5697.96,21567.78,10039.16,9328.64,12528.9,7332.35,11085.04,4860.56,7084.42,5221.34,9375.41,5108.06,6378.89,8878.96,8502.53,7984.74,5924.34,9299.48,6008.74,8755.14,5683.76,14004.16,65453.85,85596.98,86556.8,134077.55,137111.78,138657.09,177035.28,177794.91,1369.79,134433.77,199974.75,161654.38,119531.83,154010.25,143780.48,33672.38,125209.65,117760.31,101305.91,105199.09,88435.82,62275.7,134086.73,135917.78,172203.98,178436.34,31517.28,107822.25,188902.91,121353.73,204719.66,5579.43,157886.63,101355.56,97424.08,80366.09,157686.23,80392.39,100373.2
Hesburger Tallinn Järve,148601.63,148960.38,148269.34,150817.78,149783.25,147785.53,148784.5,206599.16,182370.36,118595.89,110475.69,111138.79,108879.86,108674.26,166930.52,79008.91,38216.19,69742.05,17919.99,6787.04,5697.96,0.0,15914.69,4969.46,4621.37,6875.81,2409.77,5431.95,1675.3,3401.34,2274.23,3748.33,3569.13,4478.01,3225.87,2875.45,3458.46,1690.76,3646.4,4538.89,3128.06,4088.4,8351.07,61598.85,81741.98,82701.8,130222.55,133256.78,134802.09,173180.3,173939.91,6996.14,137257.42,202798.41,167020.48,115676.83,150155.27,146604.14,29817.38,128033.3,113905.32,95652.82,110825.69,91259.48,56622.61,130231.74,138741.44,168348.98,185883.36,37143.88,104800.16,185047.91,117498.73,200864.66,11206.02,154031.63,104179.21,100247.73,76511.09,160509.89,77370.29,97351.1
Hesburger Maardu,140418.8,140777.56,140086.53,142634.97,141600.44,139602.72,140601.67,198416.34,192274.42,130470.91,126324.24,126987.35,124728.42,124522.81,182800.33,94878.73,49873.66,74983.03,33789.81,22182.81,21567.78,15914.69,0.0,14683.34,15349.2,9095.56,15054.52,10579.35,17530.35,16035.17,17536.14,13065.02,18522.05,17584.04,12916.5,13711.32,15681.34,16541.75,12492.06,18157.25,13532.92,18388.54,7876.39,53416.04,73559.16,74518.98,120148.27,125073.97,126619.27,160353.33,161112.95,22865.96,148914.89,203992.97,158837.66,107494.01,141972.44,160089.31,21634.56,139690.77,105722.5,80709.32,126695.5,107108.04,41679.11,122048.92,150398.91,155051.28,177700.55,53025.59,101480.91,176865.09,109315.91,192681.84,27075.84,140733.94,115836.68,113732.9,68328.27,170413.95,82611.27,102592.09
Hesburger Peetri Selver,144752.56,145111.33,144420.3,146968.73,145934.2,143936.47,144935.44,202750.11,185647.02,121872.55,113752.34,114415.44,112156.52,111950.91,171271.7,83350.1,41492.84,66168.47,22261.19,7733.5,10039.16,4969.46,14683.34,0.0,6119.74,5504.44,5029.05,4060.57,6607.44,6196.08,7130.38,3952.24,8416.22,7712.02,2336.13,3913.69,6018.36,6151.06,2309.35,8283.9,3921.03,8469.59,6833.25,57749.8,77892.93,78852.75,126373.5,129407.73,130953.04,169331.23,170090.86,11337.34,140534.06,206075.06,163171.42,111827.77,146306.2,149880.78,25968.33,131309.95,110056.27,94095.88,115166.88,94536.13,55065.66,126382.69,142018.09,164499.94,182034.31,41485.07,101226.57,181198.86,113649.68,197015.59,15547.21,150182.58,107455.86,103524.38,72662.04,163786.53,73796.71,93777.52
Hesburger Tallinn Arsenali keskus,149376.84,149735.59,149044.56,151593.02,150558.47,148560.75,149559.72,207374.38,186920.84,123146.38,115026.16,115689.27,113430.34,113224.73,169206.25,81284.65,42766.67,72240.06,20195.73,11337.53,9328.64,4621.37,15349.2,6119.74,0.0,7073.7,2327.29,5584.62,4665.97,2350.72,4195.43,2359.14,4677.74,3485.23,3837.5,2344.23,1403.21,3691.35,4466.13,4058.44,2255.49,4308.74,8535.83,62374.07,82517.21,83477.02,130997.77,134032.02,135577.31,173955.52,174715.13,10422.28,141807.91,207348.89,167795.7,116452.05,150930.48,151154.63,30592.6,132583.78,114680.55,95629.37,113101.42,95809.96,56599.15,131006.96,143291.92,169124.22,186658.58,38926.77,107298.17,185823.14,118273.95,201639.88,14758.22,154806.86,108729.7,104798.22,77286.31,165060.38,79868.3,99849.12
Hesburger Tallinn Lasnamäe Centrum,143947.75,144306.52,143615.48,146163.92,145129.39,143131.66,144130.63,201945.3,189180.05,125405.58,117285.37,117948.47,115689.55,115483.94,173761.45,85839.84,45025.87,71576.14,24750.93,13003.91,12528.9,6875.81,9095.56,5504.44,7073.7,0.0,6571.92,1540.47,8513.79,7614.98,9017.94,4812.33,10101.86,9163.86,3869.92,5223.34,7261.16,7970.85,3453.18,9737.07,5154.42,9968.35,1673.18,56944.99,77088.12,78047.94,125568.69,128602.92,130148.23,168526.42,169286.05,13827.08,144067.09,207521.92,162366.61,111022.96,145501.39,153413.81,25163.51,134842.98,109251.45,88867.0,117656.63,98069.16,49836.78,125577.88,145551.13,163695.13,181229.5,44605.4,106634.24,180394.05,112844.87,196210.78,18036.96,149377.77,110988.89,107057.41,71857.23,167319.56,79204.38,99185.2
Hesburger Tallinn Kristiine keskus,148363.2,148721.95,148030.92,150579.36,149544.83,147547.11,148546.08,206360.73,184709.25,120934.78,112814.57,113477.68,111218.75,111013.14,168486.42,80564.81,40555.07,72080.94,19475.9,9125.93,7332.35,2409.77,15054.52,5029.05,2327.29,6571.92,0.0,5105.65,2507.82,1151.99,2569.19,2251.96,3578.47,2687.39,2768.11,1416.3,1151.82,1487.23,3396.74,3259.27,1583.16,3444.97,8047.18,61360.43,81503.56,82463.38,129984.13,133018.36,134563.67,172941.86,173701.48,8425.99,139596.31,205137.3,166782.05,115438.41,149916.83,148943.03,29578.95,130372.19,113666.9,95285.98,112381.59,93598.36,56255.77,129993.31,141080.33,168110.56,185644.94,38127.61,107139.04,184809.48,117260.31,200626.23,12761.93,153793.2,106518.1,102586.62,76272.66,162848.77,79709.18,99689.99
Hesburger Tallinn Lasnamäe Smuuli,143899.94,144258.69,143567.66,146116.09,145081.56,143083.84,144082.81,201897.47,187736.17,123961.71,115841.5,116504.61,114245.68,114040.07,172317.58,84395.98,43582.01,71895.52,23307.07,11560.04,11085.04,5431.95,10579.35,4060.57,5584.62,1540.47,5105.65,0.0,7069.92,6148.71,7551.66,3323.25,8635.58,7697.58,2426.05,3757.07,5794.88,6504.58,2009.32,8270.79,3665.34,8502.08,3020.26,56897.16,77040.3,78000.12,125520.87,128555.1,130100.4,168478.61,169238.22,12383.22,142623.23,208164.22,162318.8,110975.14,145453.56,151969.95,25115.69,133399.13,109203.63,90298.36,116212.76,96625.3,51268.14,125530.05,144107.25,163647.3,181181.67,43139.12,106953.62,180346.22,112797.05,196162.97,16593.1,149329.94,109545.03,105613.55,71809.4,165875.7,79523.76,99504.57
Hesburger Tallinn Magistral,150239.59,150598.34,149907.31,152455.77,151421.22,149423.5,150422.47,208237.13,182752.23,118977.77,110857.55,111520.66,109261.73,109056.13,166014.63,78093.02,38598.06,70657.85,17004.11,7702.85,4860.56,1675.3,17530.35,6607.44,4665.97,8513.79,2507.82,7069.92,0.0,2975.48,1113.41,4771.52,2241.96,3467.33,4863.85,3914.51,3435.08,1099.82,5284.37,3223.69,4102.72,2781.26,9989.05,63236.82,83379.96,84339.78,131860.53,134894.77,136440.06,174818.27,175577.88,5954.2,137639.3,203180.28,159548.08,117314.8,151793.23,146986.02,31455.35,128415.17,115543.3,97290.8,109909.8,91641.35,58260.59,131869.72,139123.31,169986.97,187521.33,36301.11,105715.96,186685.89,119136.71,202502.63,10290.13,155669.61,104561.09,100629.6,78149.06,160891.77,78286.09,98266.91
Hesburger Tallinn Merimetsa Selver,149530.22,149888.98,149197.95,151746.39,150711.86,148714.14,149713.11,207527.77,185587.45,121812.98,113692.78,114355.88,112096.95,111891.35,167306.38,79384.77,41433.28,73072.51,18295.85,10117.5,7084.42,3401.34,16035.17,6196.08,2350.72,7614.98,1151.99,6148.71,2975.48,0.0,2079.35,3232.69,2542.37,1591.7,3935.14,2459.36,1209.27,2134.46,4563.77,2164.9,2563.89,2408.86,9090.24,62527.46,82670.59,83630.41,131151.16,134185.39,135730.69,174108.89,174868.52,8178.06,140474.52,206015.5,167949.08,116605.44,151083.86,149821.23,30745.98,131250.39,114833.92,96266.63,111201.55,94476.57,57236.41,131160.34,141958.53,169277.59,186811.97,37033.23,108130.61,185976.52,118427.34,201793.27,12514.0,154960.23,107396.3,103464.83,77439.7,163726.98,80700.75,100681.56
